S,Feedback,Sentiment
722,This is simply the BEST bluetooth headset for sound quality!,1
253,I love all the features and form factor.,1
261,Only had this a month but it's worked flawlessly so far.,1
421,Don't make the same mistake I did.,0
34,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1
731,None of the three sizes they sent with the headset would stay in my ears.,0
204,Battery lasts only a few hours.,0
856,Poor Reliability.,0
17,So Far So Good!.,1
160,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0
636,These are fabulous!,1
926,It looses connection to the phone even when it is within a couple feet between the two.,0
550,"I love the camera, it's really pretty good quality.",1
461,We would recommend these to others.,1
718,It was a great phone.,1
294,The voice recognition thru the handset is excellent.,1
648,"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",0
282,"First of all, it doesn't wear well.",0
167,"The look of it is very sharp and the screen is nice and clear, with great graphics.",1
56,VERY DISAPPOINTED.,0
739,I great reception all the time.,1
158,And I just love the colors!,1
487,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0
164,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0
303,Good price.,1
908,"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1
971,Excellent product.,1
394,I highly recommend these and encourage people to give them a try.,1
462,Cant get the software to work with my computer.,0
352,"Comfortable, Nice Range, Good Battery Life.",1
905,Not nearly as good looking as the AMAZON picture makes it look.,0
338,"It was an inexpensive piece, but I would still have expected better quality.",0
10,And the sound quality is great.,1
516,I am very impressed with the job that Motorola did on the sturdiness of this phone.,1
309,They do not care about the consumer one bit.,0
409,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0
330,VERY comfortable.,1
478,"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1
105,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1
413,We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0
489,This results in the phone being either stuck at max volume or mute.,0
269,Love this headset!,1
8,"Needless to say, I wasted my money.",0
911,So I bought about 10 of these and saved alot of money.,1
31,This product is ideal for people like me whose ears are very sensitive.,1
952,Very satisifed with that.,1
895,It was quite comfortable in the ear.,1
400,what a disappointment,0
506,I would not recommend this item to anyone.,0
779,"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0
566,Cumbersome design.,0
848,Not good enough for the price.,0
207,I've had this for nearly 2 years and it has worked great for me.,1
458,Very well made and fits my Surefire GX2 perfectly.,1
206,"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1
20,"I went on Motorola's website and followed all directions, but could not get it to pair again.",0
314,The battery is unreliable as well as the service use antena.,0
827,Good case!.,1
993,disappointed.,0
30,"This is a simple little phone to use, but the breakage is unacceptible.",0
542,"Perhaps my phone is defective, but people cannot hear me when I use this.",0
370,"I'll be drivng along, and my headset starts ringing for no reason.",0
190,The replacement died in a few weeks.,0
147,Its reception is very very poor.,0
208,Good transmit audio.,1
5,I have to jiggle the plug to get it to line up right to get decent volume.,0
583,"It plays louder than any other speaker of this size;  the price is so low that most would think the quality is lacking, however, it's not.",1
584,Better than expected.,1
651,I found the product to be easy to set up and use.,1
694,The design might be ergonomic in theory but I could not stand having these in my ear.,0
938,Logitech Bluetooth Headset is a 10!.,1
567,"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",1
445,"I searched the Internet, and found this one to be the best value.",1
225,These are certainly very comfortable and functionality is decent.,1
631,"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",1
465,The battery works great!,1
201,All in all I think it was a good investment.,1
411,I highly recommend this device to everyone!,1
945,It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1
50,Not loud enough and doesn't turn on like it should.,0
753,Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,1
327,The plug did not work very well.,0
838,"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",0
3,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0
564,Yet Plantronincs continues to use the same flawed charger design.,0
545,"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",1
396,"Using all earpieces, left or right, this thing will not stay on my ear.",0
448,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1
332,The reception is excellent!,1
500,"The bose noise cancelling is amazing, which is very important for a NYC commuter.",1
482,"After charging overnight, these batteries work great.",1
900,"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",0
113,"Great product, fast shipping!.",1
401,Very prompt service.,1
734,We have tried 2 units and they both failed within 2 months.. Pros,0
215,I would highly recommend this.,1
490,This PDA rocks.,1
195,"Light weight, I hardly notice it is there.",1
61,"I really recommend this faceplates since it looks very nice, elegant and cool.",1
427,"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0
73,Nice docking station for home or work.,1
155,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1
920,much better than the hard plastic cases.,1
746,"stay away from this store, be careful.",0
951,Very much disappointed with this company.,0
257,Great Earpiece.,1
243,"No additional ear gels provided, and no instructions whatsoever.",0
369,I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1
710,Can't store anything but phone numbers to SIM.,0
509,"As an earlier review noted, plug in this charger and nothing happens.",0
129,The BT headset was such a disapoinment.,0
134,Buyer--Be Very Careful!!!!!.,0
159,W810i is just SUPERB.,1
43,I only hear garbage for audio.,0
420,Price is good too.,1
242,Worst Customer Service Ever.,0
431,It finds my cell phone right away when I enter the car.,1
986,You also cannot take pictures with it in the case because the lense is covered.,0
923,cool phone.,1
683,I love the ringtones because they are so upbeat!,1
169,One thing I hate is the mode set button at the side.,0
727,"Other than that, the leather is nice and soft;   the fit is very tight;  the cut out for the face is a good shape.",1
886,"I didn't want the clip going over the top of my ear, causing discomfort.",0
479,I'd like to return it.,0
914,"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",0
241,the phone was unusable and was not new.,0
869,"Just really good.. So far, probably the best BT headset I have ever had.",1
884,"I am pairing this with my iphone, and I could not be happier with it so far.",1
921,It also had a new problem.,0
622,This is a great product..... sure beats using your fingers!.,1
287,Piece of Junk.,0
415,"I have used several phone in two years, but this one is the best.",1
871,I received my headset in good time and was happy with it.,1
712,Poor quality.,0
562,"All in all, I'm quite satisfied with this purchase.",1
628,Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,0
371,Display is excellent and camera is as good as any from that year.,1
613,I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1
345,"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1
664,Does everything it should and more.,1
403,Very pleased with this headset.,1
772,"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",0
6,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0
593,Easy to use.,1
210,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0
607,Sprint charges for this service.,0
817,Gets a signal when other Verizon phones won't.,1
976,SWEETEST PHONE!!!,1
824,Awkward to use and unreliable.,0
555,It's AGGRAVATING!,0
83,The battery runs down quickly.,0
15,Highly recommend for any one who has a blue tooth phone.,1
828,Doesn't Work.,0
880,"The bottowm line...another worthless, cheap gimmick from Sprint.",0
216,I would recommend this.,1
954,This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,1
211,"If you hate earbugs, avoid this phone by all means.",0
402,Excellent product for the price.,1
709,Appears to actually outperform the original battery from China that came with my V325i.,1
173,The iGo chargers and tips are really great.,1
386,Poor sound quality.,0
102,Definitely a bargain.,1
70,Mic Doesn't work.,0
146,What a waste of time!,0
822,I have been very satisfied with this cell phone from day one.,1
657,"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",1
217,"I also didn't like the ""on"" button, it felt like it would crack with use.",0
713,"jabra ear gels ""R"" the best!.",1
452,"My colleague & I now get great reception.A little expensive, but performance is great.",1
28,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0
441,"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0
659,"It felt too light and ""tinny."".",0
117,It is very comfortable on the ear.,1
853,These products cover up the important light sensor above the ear outlet.,0
812,Battery charge-life is quite long.,1
660,This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,0
230,The battery is completely useless to me.,0
955,Buttons are too small.,0
991,Painful on the ear.,0
842,Terrible.. My car will not accept this cassette.,0
108,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0
757,The nano stated it.My son was dissapointed.,0
953,It didn't charge for me.,0
246,Excellent wallet type phone case.,1
312,Also its slim enough to fit into my alarm clock docking station without removing the case.,1
833,"My father has the V265, and the battery is dying.",0
165,Great Value.,1
142,I was not happy with this item.,0
625,Very Dissapointing Performance.,0
60,Essentially you can forget Microsoft's tech support.,0
364,It definitely was not as good as my S11.,1
256,"The cable looks so thin and flimsy, it is scary.",0
570,"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",0
501,This battery is an excellent bargain!,1
614,the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,0
343,New Battery works great in phone.,1
799,I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,0
